EngDisplacement(X),Fuel efficiency(Y),,X^2 (XX),,X*Y (XY)
4.7,28.0198,,22.09,,131.69306
4.7,25.6094,,22.09,,120.36418
4.2,26.8,,17.64,,112.56
4.2,25.0451,,17.64,,105.18942
5.2,24.8,,27.04,,128.96
5.2,23.9,,27.04,,124.28
2,39.7256,,4,,79.4512
6,24.4,,36,,146.4
3,39.7103,,9,,119.1309
3,38.7896,,9,,116.3688
3,33.6296,,9,,100.8888
3,35.2678,,9,,105.8034
8,17.8,,64,,142.4
6.2,27.1,,38.44,,168.02
6.2,34.3493,,38.44,,212.96566
6.2,35.8,,38.44,,221.96
7,33.7,,49,,235.9
8.4,30,,70.56,,252
8.4,30,,70.56,,252
4.5,24.3499,,20.25,,109.57455
5.7,20.99,,32.49,,119.643
5.7,21.1,,32.49,,120.27
5.2,25.4,,27.04,,132.08
5.2,24,,27.04,,124.8
5.2,25.4,,27.04,,132.08
5.2,22.6,,27.04,,117.52
6.5,17.5,,42.25,,113.75
6.5,19.9,,42.25,,129.35
6.5,19.9,,42.25,,129.35
6.5,17.5,,42.25,,113.75
6.5,19.9,,42.25,,129.35
1.8,37.62,,3.24,,67.716
1.8,37.0028,,3.24,,66.60504
2,38.9959,,4,,77.9918
2,39,,4,,78
2,38.512,,4,,77.024
5.5,29.3,,30.25,,161.15
3,35.9,,9,,107.7
3.5,36.2,,12.25,,126.7
3.5,34.5,,12.25,,120.75
3.5,34.7927,,12.25,,121.77445
5.5,30.8,,30.25,,169.4
1,57.8,,1,,57.8
1,57.8,,1,,57.8
3.7,35.9802,,13.69,,133.12674
3.7,36.9,,13.69,,136.53
3.7,34.5832,,13.69,,127.95784
3.7,34.9,,13.69,,129.13
2,37.5,,4,,75
2,40,,4,,80
2.4,33.6,,5.76,,80.64
2.4,36.4,,5.76,,87.36
3.8,28.5532,,14.44,,108.50216
3.8,27.372,,14.44,,104.0136
2.9,37.3296,,8.41,,108.25584
2.9,41.3608,,8.41,,119.94632
3.4,36.7299,,11.56,,124.88166
3.4,40.9978,,11.56,,139.39252
2.9,37.3296,,8.41,,108.25584
2.9,41.3608,,8.41,,119.94632
3.4,36.7299,,11.56,,124.88166
3.4,40.9978,,11.56,,139.39252
2,37.5,,4,,75
2,40,,4,,80
2.4,36.4,,5.76,,87.36
2.4,33.6,,5.76,,80.64
4.2,27.471,,17.64,,115.3782
5.9,23.6523,,34.81,,139.54857
5.9,27.2408,,34.81,,160.72072
5.9,22.9258,,34.81,,135.26222
5.9,24.6983,,34.81,,145.71997
4.3,26.1157,,18.49,,112.29751
5,32.8808,,25,,164.404
